t,Linear,DeltaNet,VLA
553,1089.0105,1.9919,24.4508
554,1092.1023,2.1393,24.409
555,1095.8291,2.1586,24.5633
556,1097.5459,1.8836,24.5455
557,1098.4347,2.0424,24.4889
558,1103.6035,2.1028,24.6958
559,1106.1873,2.1066,24.6449
560,1111.1365,1.9322,24.7254
561,1113.4994,1.9141,24.6179
562,1116.1473,2.2855,24.7008
563,1119.8365,1.9961,24.7051
564,1119.8728,1.7924,24.7774
565,1124.8817,2.1696,24.9468
566,1127.3339,1.6138,24.7813
567,1131.0573,2.1039,24.8336
568,1132.0372,2.5059,24.8224
569,1134.113,2.1934,24.8564
570,1133.658,1.836,24.946
571,1136.8152,2.0504,24.9553
572,1141.0399,2.3303,25.0659
573,1139.3044,1.7253,24.9882
574,1143.6893,2.3321,25.033
575,1144.2163,1.7932,25.0552
576,1145.2518,1.7288,25.0927
577,1144.0527,1.5465,25.1292
578,1147.7218,2.1984,25.1186
579,1148.1829,1.832,25.2362
580,1150.0151,2.0412,25.2456
581,1154.6674,2.168,25.4498
582,1158.8027,2.2597,25.3804
583,1160.2019,2.0256,25.4726
584,1161.6947,1.7452,25.4776
585,1163.2457,2.1916,25.5234
586,1167.358,2.4439,25.6518
587,1166.0177,1.7968,25.5919
588,1168.9437,1.7046,25.6064
589,1169.5427,1.7573,25.7009
590,1171.6815,1.9074,25.6503
591,1171.7054,1.5928,25.6271
592,1176.0165,2.3099,25.8191
593,1174.9823,1.9145,25.8671
594,1179.217,2.0536,25.8576
595,1178.0758,1.8031,25.9638
596,1178.2124,2.0062,25.887
597,1182.2695,2.3403,25.9707
598,1185.8156,2.1778,26.0385
599,1190.0907,2.1097,26.1589
600,1190.4408,1.6934,26.114
601,1194.8881,1.8508,26.2874
602,1189.1074,1.6239,26.1841
603,1191.085,2.0889,26.1622
604,1191.7843,1.6898,26.2023
605,1196.0918,2.2175,26.2817
606,1194.8215,1.8107,26.3427
607,1197.2648,1.9581,26.3819
608,1198.7313,2.3453,26.402
609,1203.7062,2.1104,26.5511
610,1205.8301,1.9722,26.4655
611,1209.2949,2.1901,26.4959
612,1210.3787,1.5499,26.4398
613,1211.3779,1.0872,26.4729
614,1215.6289,1.757,26.5443
615,1214.3964,1.5949,26.6229
616,1216.8379,1.6899,26.6509
617,1218.325,2.4631,26.6928
618,1221.879,2.0795,26.8213
619,1227.3868,2.0689,26.7408
620,1229.5182,2.2813,26.7503
621,1234.6964,2.0428,26.9056
622,1237.6493,2.0358,26.9344
623,1241.8408,2.158,27.0506
624,1238.9426,1.8169,26.9883
625,1243.0394,2.2917,26.929
626,1245.1586,1.9728,26.9213
627,1243.718,1.5843,26.9419
628,1242.2625,2.0992,27.0674
629,1244.7152,1.8886,27.0374
630,1249.0033,2.2444,27.209
631,1252.7533,2.4201,27.198
632,1254.5431,2.3002,27.1432
633,1256.2056,1.72,27.1499
634,1259.9551,2.1322,27.2144
635,1263.6559,1.389,27.2416
636,1264.4276,1.6975,27.2351
637,1267.5146,1.9099,27.2792
638,1268.356,2.2876,27.2162
639,1272.0225,2.5323,27.4074
640,1273.7335,2.4765,27.3445
641,1276.5814,2.3345,27.3858
642,1279.2085,1.4708,27.4308
643,1280.198,2.0935,27.4009
644,1284.0168,2.2429,27.6
645,1283.0094,2.0147,27.5108
646,1287.3713,1.8225,27.6918
647,1291.5215,1.8607,27.6457
648,1291.7128,1.8143,27.7479
649,1292.5626,2.0326,27.6653
650,1298.3374,2.2924,27.8333
651,1303.5121,2.192,27.7816
652,1305.2891,2.3309,27.7749
653,1310.5713,2.2414,27.9283
654,1309.3315,1.988,27.8959
655,1313.0923,2.0485,27.9001
656,1313.6871,2.4687,27.8601
657,1317.0634,2.3144,27.9348
658,1314.8689,2.0548,28.0264
659,1316.6672,1.9508,28.0337
660,1321.2308,2.0392,28.1844
661,1320.9161,1.8117,28.1564
662,1324.7888,2.2103,28.1668
663,1326.6473,1.8904,28.1539
664,1328.8768,1.8585,28.1109
665,1327.686,1.4864,28.1541
666,1329.2322,1.8892,28.2163
667,1333.2412,2.197,28.354
668,1336.0682,2.0049,28.3241
669,1337.5192,2.382,28.351
670,1340.4507,2.3495,28.3324
671,1340.9984,2.0182,28.4745
672,1343.739,1.8871,28.4509
673,1347.9408,2.275,28.6408
674,1346.6683,2.0275,28.6483
675,1349.4587,2.2635,28.5783
676,1351.2546,1.6113,28.5864
677,1353.2047,2.3526,28.6308
678,1354.0719,1.7712,28.7153
679,1357.6234,1.8762,28.7726
680,1357.6078,1.773,28.8512
681,1362.918,2.0639,28.9757
682,1364.3845,1.8553,28.8245
683,1368.0612,2.0442,28.847
684,1369.0529,2.0048,28.8768
685,1371.9714,2.3345,28.8627
686,1376.1178,2.1392,29.0339
687,1373.5942,1.9038,28.9411
688,1378.431,1.9238,29.1126
689,1378.9014,1.4672,29.0421
690,1381.1738,2.0239,29.0751
691,1381.8938,2.2653,29.0957
692,1382.636,1.6977,29.1485
693,1379.7906,1.968,29.2275
694,1382.432,1.8515,29.2246
695,1387.1727,2.2753,29.3349
696,1389.9825,2.1115,29.3101
697,1389.1041,1.8472,29.405
698,1392.6217,2.3398,29.4218
699,1395.6157,1.9376,29.4107
700,1396.4685,1.6585,29.5497
701,1396.9572,1.9869,29.4159
702,1400.5649,2.3019,29.6115
703,1402.2242,1.8211,29.5632
704,1400.8103,1.5148,29.5813
705,1404.6473,2.1706,29.6457
706,1408.9755,2.1503,29.7852
707,1404.9504,1.5676,29.5678
708,1404.4821,1.6644,29.6986
709,1409.25,2.1484,29.6807
710,1411.0703,1.7665,29.7622
711,1415.4904,1.8812,29.7623
712,1417.7898,2.2828,29.8154
713,1417.844,1.6518,29.8468
714,1421.8456,2.0378,29.9836
715,1422.2108,1.9712,29.8398
716,1423.2399,2.402,29.8928
717,1422.6208,1.9323,29.9455
718,1426.2272,2.3671,29.9966
719,1428.208,2.1764,30.0319
720,1432.1332,2.1087,30.1665
721,1432.1086,1.6941,30.0982
722,1435.9844,2.0197,30.2332
723,1433.8921,1.4498,30.1149
724,1438.0341,1.7813,30.2807
725,1436.3063,1.2131,30.1737
726,1440.7115,1.8035,30.3376
727,1439.2302,1.5325,30.2945
728,1443.3866,1.9809,30.4495
729,1441.2008,1.4554,30.3835
730,1445.4823,1.7818,30.4847
731,1440.6052,1.9731,30.453
732,1444.5559,2.2727,30.4977
733,1445.8832,2.1629,30.4579
734,1445.9373,1.8807,30.515
735,1445.6487,1.819,30.5825
736,1451.2638,2.1259,30.5461
737,1453.8971,1.9452,30.5503
738,1454.6443,1.8095,30.5991
739,1459.2882,2.0792,30.5726
740,1461.1066,2.076,30.6524
741,1462.2698,1.8889,30.7381
742,1467.0377,2.2641,30.8667
743,1464.9171,1.7014,30.8004
744,1468.7599,1.8062,30.9275
745,1467.6359,1.2851,30.8927
746,1472.0161,1.6969,31.0175
747,1469.5468,1.0749,30.9106
748,1474.4525,2.0462,31.0215
749,1472.6967,1.3427,30.9817
750,1476.5116,2.2038,31.118
751,1470.7242,1.5186,31.0522
752,1472.8031,2.2334,31.0993
753,1473.7117,1.6054,31.0986
754,1477.967,1.9375,31.1429
755,1477.798,1.7703,31.2609
756,1480.2024,1.7726,31.2291
757,1482.9838,2.3642,31.2277
758,1487.3202,2.1431,31.3707
759,1490.7357,2.0145,31.3405
760,1494.8464,2.0846,31.3691
761,1496.024,1.555,31.4079
762,1496.5112,1.1306,31.4351
763,1499.7529,1.8072,31.4797
764,1499.9825,1.7053,31.604
765,1502.9098,1.8395,31.5455
766,1505.4688,2.111,31.5253
767,1509.5459,1.9951,31.6671
768,1513.4188,2.0348,31.6385
769,1515.6787,1.9623,31.6238
770,1519.079,1.9864,31.7528
771,1522.5312,1.9382,31.7378
772,1526.7441,2.0766,31.8045
773,1526.1208,2.0737,31.7231
774,1529.7617,2.2275,31.7528
775,1529.8153,1.9365,31.8241
776,1532.3376,1.8649,31.7797
777,1535.9855,2.0486,31.8062
778,1540.7836,2.3192,31.9022
779,1537.462,1.6572,31.8881
780,1540.4235,1.8213,31.906
781,1541.6875,1.6256,31.9991
782,1544.0684,1.954,31.9054
783,1545.5988,1.8268,31.91
784,1549.5917,2.0322,32.0822
785,1547.1553,2.3466,32.0248
786,1552.0465,1.9086,32.1847
787,1551.2168,1.884,32.13
788,1555.8818,2.168,32.1169
789,1557.024,1.8413,32.1514
790,1556.1115,1.5885,32.1949
791,1561.5027,2.2117,32.3607
792,1564.3313,2.0747,32.3383
793,1568.5725,2.0086,32.4232
794,1571.1221,1.6002,32.2969
795,1574.0787,2.0071,32.3174
796,1573.8326,2.4183,32.2925
797,1575.7278,1.9485,32.3469
798,1579.5594,2.1867,32.4966
799,1578.1229,1.9856,32.4893
800,1581.8041,2.2732,32.5236
801,1582.9771,1.986,32.5813
802,1585.0663,1.9469,32.5035
803,1585.9363,1.8927,32.5574
804,1585.7975,1.4534,32.5928
805,1589.8259,2.0578,32.7148
806,1593.0204,1.7539,32.673
807,1595.8936,1.9233,32.6472
808,1600.4349,2.2108,32.8046
809,1602.0292,2.0,32.7995
810,1604.1016,2.1796,32.8026
811,1609.6995,2.2228,32.9444
812,1610.7188,1.9076,32.8426
813,1610.5273,1.9008,32.8437
814,1614.6122,2.1608,33.0082
815,1615.595,1.7382,32.9998
