t,vla_S,la_S,vla_A
580,86.8637,4635.4917,95.3337
581,86.9417,4641.7339,95.3197
582,87.1516,4644.4927,95.3037
583,87.1076,4655.2388,95.2842
584,87.2002,4649.3779,95.2646
585,87.2494,4674.8403,95.2444
586,87.3268,4691.9492,95.2248
587,87.4483,4700.8691,95.2095
588,87.5219,4712.9785,95.1942
589,87.6393,4708.5811,95.1751
590,87.6866,4721.3467,95.156
591,87.7325,4722.4121,95.1402
592,87.8643,4726.7437,95.1224
593,87.8301,4724.103,95.1078
594,87.9211,4729.8013,95.0923
595,88.0356,4736.6021,95.0773
596,88.1595,4746.8628,95.0574
597,88.2159,4752.3369,95.0417
598,88.3557,4764.0454,95.022
599,88.4034,4768.5552,95.0035
600,88.4671,4776.0781,94.9976
601,88.5561,4788.6123,94.9795
602,88.6327,4798.6484,94.9605
603,88.7374,4805.5425,94.9439
604,88.7449,4812.248,94.9274
605,88.8,4828.8184,94.9118
606,88.8581,4839.7358,94.8971
607,88.9688,4849.9434,94.8829
608,89.0336,4864.3237,94.8671
609,89.0878,4872.2847,94.8484
610,89.1482,4881.6265,94.8314
611,89.1409,4888.812,94.8123
612,89.1991,4897.5474,94.7959
613,89.2914,4906.6201,94.7748
614,89.3395,4912.0112,94.7576
615,89.2998,4923.6533,94.7439
616,89.3939,4933.2939,94.7317
617,89.4774,4939.4155,94.713
618,89.4873,4945.7812,94.6998
619,89.5576,4941.7861,94.685
620,89.6512,4950.1836,94.6799
621,89.6826,4949.4849,94.6621
622,89.6818,4962.7007,94.6459
623,89.7163,4974.6616,94.6296
624,89.7623,4968.8833,94.6144
625,89.7906,4975.8364,94.5958
626,89.9021,4985.2202,94.5772
627,89.8762,4985.7476,94.5622
628,89.9618,4998.4634,94.541
629,89.9699,5006.6982,94.5283
630,89.9905,5014.5869,94.5123
631,90.0745,5022.5049,94.4951
632,90.1437,5031.5039,94.4829
633,90.1417,5049.1914,94.4667
634,90.1926,5051.5522,94.4526
635,90.2914,5054.9263,94.431
636,90.3871,5067.7769,94.4112
637,90.4388,5063.5845,94.392
638,90.5314,5079.2383,94.3738
639,90.5388,5088.4712,94.3596
640,90.6223,5088.7266,94.3573
641,90.6764,5107.8984,94.3405
642,90.7529,5111.6997,94.3275
643,90.7817,5114.9253,94.3116
644,90.9484,5126.4087,94.2949
645,91.0076,5116.9014,94.2758
646,91.0145,5135.3403,94.2609
647,91.0262,5142.5737,94.2437
648,91.13,5153.0547,94.2258
649,91.1918,5152.9873,94.2087
650,91.2513,5161.2192,94.1916
651,91.2873,5172.6738,94.1775
652,91.2952,5174.0996,94.162
